game_name,num_apis_tested,avg_reward,win_rate,max_reward,min_reward,has_win,is_unbeaten,max_step,avg_win_step,normalized_reward,step_score,final_score,difficulty_label
aliens_v0,3,45.333333333333336,0.0,47.0,44.0,False,False,783,,,0.0,,very_hard
angelsdemons_v0,3,13.666666666666666,0.0,22.0,-1.0,False,False,623,,,0.0,,very_hard
avoidgeorge_v0,3,-0.6666666666666666,0.0,0.0,-1.0,False,False,161,,,0.0,,very_hard
bait_v0,3,,0.3333333333333333,,,True,False,2000,317.0,,0.8415,,very_hard
beltmanager_v0,3,-1.0,0.0,-1.0,-1.0,False,False,230,,,0.0,,very_hard
blacksmoke_v0,3,,0.0,,,False,False,170,,,0.0,,very_hard
bomber_v0,3,0.3333333333333333,0.0,1.0,0.0,False,False,1000,,,0.0,,very_hard
bomberman_v0,3,,0.0,,,False,False,2000,,,0.0,,very_hard
boulderchase_v0,3,5.666666666666667,0.0,8.0,4.0,False,False,2000,,,0.0,,very_hard
boulderdash_v0,3,0.0,0.0,1.0,-1.0,False,False,2000,,,0.0,,very_hard
brainman_v0,3,12.666666666666666,0.3333333333333333,35.0,0.0,True,False,2000,558.0,,0.721,,very_hard
bravekeeper_v0,3,23.333333333333332,0.0,50.0,10.0,False,False,1128,,,0.0,,very_hard
butterflies_v0,3,7.333333333333333,0.0,12.0,4.0,False,False,594,,,0.0,,very_hard
cakybaky_v0,3,1.3333333333333333,0.0,2.0,1.0,False,False,750,,,0.0,,very_hard
camelRace_v0,3,0.3333333333333333,0.6666666666666666,1.0,-1.0,True,False,74,56.5,,0.2364864864864865,,very_hard
catapults_v0,3,1.3333333333333333,0.0,2.0,1.0,False,False,22,,,0.0,,very_hard
cec1_v0,3,,0.0,,,False,False,226,,,0.0,,very_hard
cec2_v0,3,,0.0,,,False,False,1000,,,0.0,,very_hard
cec3_v0,3,0.3333333333333333,0.0,1.0,0.0,False,False,1000,,,0.0,,very_hard
chainreaction_v0,3,-2.6666666666666665,0.0,0.0,-8.0,False,False,1500,,,0.0,,very_hard
chase_v0,3,0.0,0.0,0.0,0.0,False,False,2000,,,0.0,,very_hard
chipschallenge_v0,1,,0.0,,,False,True,2000,,,0.0,,unbeaten
chopper_v0,3,-5.0,0.0,0.0,-14.0,False,False,769,,,0.0,,very_hard
clusters_v0,3,0.3333333333333333,0.0,1.0,0.0,False,False,1500,,,0.0,,very_hard
colourescape_v0,3,-0.3333333333333333,0.0,0.0,-1.0,False,False,1500,,,0.0,,very_hard
cops_v0,3,0.0,0.0,0.0,0.0,False,True,1900,,,0.0,,unbeaten
decepticoins_v0,3,4.0,1.0,5.0,2.0,True,False,800,311.3333333333333,,0.6108333333333333,,very_hard
deceptizelda_v0,3,2.0,1.0,2.0,2.0,True,False,643,227.66666666666666,,0.6459305339554173,,very_hard
defender_v0,3,,1.0,,,True,False,1000,1000.0,,0.0,,very_hard
deflection_v0,3,-10.0,0.0,-4.0,-14.0,False,False,156,,,0.0,,very_hard
digdug_v0,3,-0.3333333333333333,0.0,0.0,-1.0,False,False,2000,,,0.0,,very_hard
doorkoban_v0,3,0.0,0.0,0.0,0.0,False,True,1000,,,0.0,,unbeaten
dungeon_v0,3,0.3333333333333333,0.0,1.0,0.0,False,False,2000,,,0.0,,very_hard
enemycitadel_v0,3,0.0,0.0,0.0,0.0,False,True,2000,,,0.0,,unbeaten
escape_v0,3,0.3333333333333333,0.6666666666666666,1.0,-1.0,True,False,74,73.0,,0.013513513513513487,,very_hard
factorymanager_v0,3,-43.333333333333336,1.0,-41.0,-45.0,True,False,1000,1000.0,,0.0,,very_hard
firecaster_v0,3,4.333333333333333,0.0,5.0,3.0,False,True,2000,,,0.0,,unbeaten
fireman_v0,3,-12.666666666666666,0.0,-4.0,-25.0,False,False,1500,,,0.0,,very_hard
firestorms_v0,3,0.0,0.0,0.0,0.0,False,True,2000,,,0.0,,unbeaten
freeway_v0,3,0.0,0.3333333333333333,0.0,0.0,True,False,1900,1900.0,,0.0,,very_hard
garbagecollector_v0,3,,0.0,,,False,False,32,,,0.0,,very_hard
golddigger_v0,3,1.3333333333333333,0.0,14.0,-5.0,False,False,2000,,,0.0,,very_hard
greedymouse_v0,3,-5.0,0.0,-5.0,-5.0,False,False,614,,,0.0,,very_hard
gymkhana_v0,3,,0.0,,,False,False,1000,,,0.0,,very_hard
hungrybirds_v0,3,,0.0,,,False,False,285,,,0.0,,very_hard
iceandfire_v0,3,1.6666666666666667,0.0,3.0,0.0,False,False,500,,,0.0,,very_hard
ikaruga_v0,3,2.3333333333333335,0.0,4.0,1.0,False,False,121,,,0.0,,very_hard
infection_v0,3,2.3333333333333335,0.3333333333333333,6.0,0.0,True,True,2000,1881.0,,0.0595,,unbeaten
invest_v0,3,-0.3333333333333333,0.6666666666666666,1.0,-2.0,True,False,1500,1500.0,,0.0,,very_hard
