model,game,level,run_id,game_level,total_steps,meaningful_steps,meaningful_ratio,total_distance,avg_distance_per_step,winner,total_reward,reward_steps,max_reward,final_reward,won,normalized_reward
gemini,boulderdash,2,5,boulderdash-lvl2,1417,229,0.1616090331686662,191,0.13479181369089627,PLAYER_LOSES,16.0,8,2.0,0.0,False,0.999999999375
gemini,boulderdash,2,2,boulderdash-lvl2,1058,392,0.3705103969754253,345,0.32608695652173914,PLAYER_LOSES,8.0,4,2.0,0.0,False,0.4999999996875
gemini,boulderdash,2,4,boulderdash-lvl2,125,55,0.44,45,0.36,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
gemini,boulderdash,2,3,boulderdash-lvl2,1998,447,0.22372372372372373,410,0.20520520520520522,NO_WINNER,4.0,2,2.0,0.0,False,0.24999999984375
gemini,boulderdash,2,1,boulderdash-lvl2,678,171,0.252212389380531,148,0.2182890855457227,PLAYER_LOSES,6.0,3,2.0,0.0,False,0.374999999765625
gemini,escape,2,2,escape-lvl2,998,377,0.3777555110220441,659,0.6603206412825652,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
gemini,escape,2,4,escape-lvl2,24,12,0.5,11,0.4583333333333333,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
gemini,escape,2,3,escape-lvl2,913,264,0.2891566265060241,419,0.4589266155531216,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
gemini,escape,2,1,escape-lvl2,2,1,0.5,1,0.5,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
gemini,boulderdash,1,5,boulderdash-lvl1,1998,155,0.07757757757757758,130,0.06506506506506507,NO_WINNER,4.0,2,2.0,0.0,False,0.0
gemini,boulderdash,1,2,boulderdash-lvl1,258,97,0.375968992248062,77,0.29844961240310075,PLAYER_LOSES,6.0,3,2.0,0.0,False,0.1999999998
gemini,boulderdash,1,4,boulderdash-lvl1,381,131,0.3438320209973753,114,0.2992125984251969,PLAYER_LOSES,10.0,5,2.0,0.0,False,0.5999999993999999
gemini,boulderdash,1,3,boulderdash-lvl1,29,10,0.3448275862068966,8,0.27586206896551724,PLAYER_LOSES,4.0,2,2.0,0.0,False,0.0
gemini,boulderdash,1,1,boulderdash-lvl1,223,82,0.36771300448430494,73,0.3273542600896861,PLAYER_LOSES,4.0,2,2.0,0.0,False,0.0
gemini,realsokoban,0,5,realsokoban-lvl0,1998,736,0.3683683683683684,1134,0.5675675675675675,NO_WINNER,0.0,2,1.0,0.0,False,0.0
gemini,realsokoban,0,2,realsokoban-lvl0,1998,974,0.4874874874874875,1527,0.7642642642642643,NO_WINNER,0.0,1,1.0,0.0,False,0.0
gemini,realsokoban,0,4,realsokoban-lvl0,1998,229,0.11461461461461461,375,0.18768768768768768,NO_WINNER,1.0,2,1.0,0.0,False,0.3333333322222222
gemini,realsokoban,0,3,realsokoban-lvl0,1998,260,0.13013013013013014,388,0.1941941941941942,NO_WINNER,2.0,2,1.0,0.0,False,0.6666666644444444
gemini,realsokoban,0,1,realsokoban-lvl0,1998,620,0.3103103103103103,977,0.488988988988989,NO_WINNER,0.0,2,1.0,0.0,False,0.0
gemini,sokoban,3,5,sokoban-lvl3,1998,218,0.1091091091091091,324,0.16216216216216217,NO_WINNER,0.0,0,0.0,0.0,False,0.0
gemini,sokoban,3,2,sokoban-lvl3,1998,127,0.06356356356356356,184,0.0920920920920921,NO_WINNER,0.0,0,0.0,0.0,False,0.0
gemini,sokoban,3,4,sokoban-lvl3,1998,611,0.3058058058058058,918,0.4594594594594595,NO_WINNER,1.0,1,1.0,0.0,False,0.4999999975
