game,mode,total_reward,total_steps,model,meaningful_step_ratio,winrate,dual_reward,win
aliens,zero-shot,56.0,10,zero-shot,0.4377142857142857,0,True,0
aliens,zero-shot,59.0,10,deepseek,0.6388059701492538,1,True,1
aliens,zero-shot,0.0,10,qwen,0.2736705577172503,0,True,0
aliens,zero-shot,0.0,10,openai,0.0,0,True,0
aliens,zero-shot,63.0,10,portkey,0.4476479514415781,1,True,1
boulderdash,zero-shot,6.0,10,openai,0.4285714285714285,0,True,0
boulderdash,zero-shot,0.0,10,zero-shot,0.3125,0,True,0
boulderdash,zero-shot,2.0,10,deepseek,0.4379379379379379,0,True,0
boulderdash,zero-shot,6.0,10,portkey-o3-mini,0.45,0,True,0
boulderdash,zero-shot,0.0,10,qwen,0.1296296296296296,0,True,0
boulderdash,zero-shot,8.0,10,portkey,0.2798507462686567,0,True,0
boulderdash,zero-shot,20.0,10,portkey-gpt-4o-mini,0.412751677852349,0,True,0
boulderdash,zero-shot,6.0,10,portkey-vertex-ai,0.3762886597938144,0,True,0
escape,zero-shot,0.0,10,zero-shot,0.0,0,True,0
realsokoban,zero-shot,4.0,10,portkey-gpt-4o-mini,0.3933933933933934,0,True,0
realsokoban,zero-shot,4.0,10,portkey-vertex-ai,0.3403403403403403,0,True,0
realsokoban,zero-shot,3.0,10,portkey-o3-mini,0.3813813813813814,0,True,0
realsokoban,zero-shot,0.0,10,zero-shot,0.1496496496496496,0,True,0
sokoban,zero-shot,0.0,10,zero-shot,0.1601601601601601,0,True,0
zelda,zero-shot,0.0,10,zero-shot,0.0157894736842105,0,True,0
zelda,zero-shot,1.0,10,portkey,0.006578947368421,1,True,1
zelda,zero-shot,0.0,10,qwen,0.0406976744186046,0,True,0
zelda,zero-shot,0.0,10,openai,0.1818181818181818,0,True,0
zelda,zero-shot,0.0,10,deepseek,0.0,0,True,0
aliens,contextual,1.0,10,deepseek,0.0161870503597122,0,True,0
aliens,contextual,15.0,10,contextual,0.4839609483960948,0,True,0
aliens,contextual,6.0,10,qwen,0.8061224489795918,1,True,1
aliens,contextual,32.0,10,portkey,0.700374531835206,1,True,1
aliens,contextual,2.0,10,openai,0.8261997405966277,0,True,0
boulderdash,contextual,2.0,10,portkey-vertex-ai,0.7638888888888888,0,True,0
boulderdash,contextual,6.0,10,openai,0.012534059945504,0,True,0
boulderdash,contextual,6.0,10,portkey,0.5104166666666666,0,True,0
boulderdash,contextual,8.0,10,portkey-o3-mini,0.7164179104477612,0,True,0
boulderdash,contextual,0.0,10,contextual,0.1858407079646017,0,True,0
boulderdash,contextual,0.0,10,portkey-gpt-4o-mini,0.6577181208053692,0,True,0
escape,contextual,0.0,10,contextual,0.001002004008016,0,True,0
realsokoban,contextual,0.0,10,contextual,0.021021021021021,0,True,0
sokoban,contextual,0.0,10,contextual,0.018018018018018,0,True,0
zelda,contextual,0.0,10,openai,0.0084033613445378,0,True,0
zelda,contextual,0.0,10,deepseek,0.0,0,True,0
zelda,contextual,0.0,10,qwen,0.0202702702702702,0,True,0
zelda,contextual,0.0,10,contextual,0.046979865771812,0,True,0
zelda,contextual,1.0,10,portkey,0.0961538461538461,0,True,0
realsokoban,contextual,5.0,10,portkey,0.2432432432432432,0,True,0
zelda,zero-shot,0.0,10,portkey,0.2523809523809524,0,True,0
escape,zero-shot,0.0,10,portkey,0.3517034068136273,0,True,0
boulderdash,contextual,2.0,10,portkey,0.8095238095238095,0,True,0
sokoban,contextual,2.0,10,portkey,0.8571428571428571,1,True,1
sokoban,zero-shot,2.0,10,portkey,0.3238238238238238,0,True,0
escape,contextual,0.0,10,portkey,0.625250501002004,0,True,0
aliens,contextual,43.0,10,portkey,0.6696165191740413,0,True,0
realsokoban,zero-shot,3.0,10,portkey,0.3413413413413413,0,True,0
boulderdash,zero-shot,2.0,10,portkey,0.5602836879432624,0,True,0
aliens,zero-shot,55.0,10,portkey,0.5651537335285505,0,True,0
zelda,contextual,1.0,10,portkey,0.0161290322580645,1,True,1
