step,action,reward,avatar_pos_before,avatar_pos_after,reward_triggered,entity_triggered,meaningful,winner
0,5,0.0,,,False,False,False,
1,3,0.0,,,False,False,False,
2,3,0.0,,,False,False,False,
3,3,0.0,,,False,False,False,
4,5,0.0,,,False,False,False,
5,2,0.0,,,False,False,False,
6,3,0.0,,,False,False,False,
7,3,0.0,,,False,False,False,
8,5,0.0,,,False,False,False,
9,3,0.0,,,False,False,False,
10,5,0.0,,,False,False,False,
11,3,0.0,,,False,False,False,
12,5,0.0,,,False,False,False,
13,5,0.0,,,False,False,False,
14,2,0.0,,,False,False,False,
15,2,0.0,,,False,False,False,
16,4,0.0,,,False,False,False,
17,4,0.0,,,False,False,False,
18,3,0.0,,,False,False,False,
19,2,0.0,,,False,False,False,
20,2,0.0,,,False,False,False,
21,4,0.0,,,False,False,False,
22,3,0.0,,,False,False,False,
23,3,0.0,,,False,False,False,
24,3,0.0,,,False,False,False,
25,3,0.0,,,False,False,False,
26,3,0.0,,,False,False,False,
27,3,0.0,,,False,False,False,
28,3,0.0,,,False,False,False,
29,3,0.0,,,False,False,False,
30,3,0.0,,,False,False,False,
31,5,0.0,,,False,False,False,
32,2,0.0,,,False,False,False,
33,3,0.0,,,False,False,False,
34,5,0.0,,,False,False,False,
35,3,0.0,,,False,False,False,
36,3,0.0,,,False,False,False,
37,3,0.0,,,False,False,False,
38,3,0.0,,,False,False,False,
39,3,0.0,,,False,False,False,
40,3,0.0,,,False,False,False,
41,3,0.0,,,False,False,False,
42,2,0.0,,,False,False,False,
43,3,0.0,,,False,False,False,
44,5,0.0,,,False,False,False,
45,5,0.0,,,False,False,False,
46,5,0.0,,,False,False,False,
47,3,0.0,,,False,False,False,
48,3,0.0,,,False,False,False,
49,3,0.0,,,False,False,False,
50,4,0.0,,,False,False,False,
51,5,0.0,,,False,False,False,
52,5,0.0,,,False,False,False,
53,4,0.0,,,False,False,False,
54,4,0.0,,,False,False,False,
55,4,1.0,,,True,True,True,
56,3,0.0,,,False,False,False,
57,5,0.0,,,False,False,False,
58,5,0.0,,,False,False,False,
59,2,0.0,,,False,False,False,
60,2,0.0,,,False,False,False,
61,3,0.0,,,False,False,False,
62,5,0.0,,,False,False,False,
63,5,0.0,,,False,False,False,
64,4,0.0,,,False,False,False,
65,4,0.0,,,False,False,False,
66,5,0.0,,,False,False,False,
67,4,0.0,,,False,False,False,
68,2,0.0,,,False,False,False,
69,5,0.0,,,False,False,False,
70,5,0.0,,,False,False,False,
71,4,0.0,,,False,False,False,
72,2,0.0,,,False,False,False,
73,2,0.0,,,False,False,False,
74,3,0.0,,,False,False,False,
75,3,0.0,,,False,False,False,
76,4,0.0,,,False,False,False,
77,2,0.0,,,False,False,False,
78,4,0.0,,,False,False,False,
79,2,0.0,,,False,False,False,
80,2,0.0,,,False,False,False,
81,3,0.0,,,False,False,False,
82,5,0.0,,,False,False,False,
83,2,0.0,,,False,False,False,
84,3,0.0,,,False,False,False,
85,2,0.0,,,False,False,False,
86,2,0.0,,,False,False,False,
87,1,0.0,,,False,True,True,
88,2,0.0,,,False,True,True,
89,2,0.0,,,False,True,True,
90,3,0.0,,,False,True,True,
91,3,0.0,,,False,True,True,
92,3,0.0,,,False,True,True,
93,2,0.0,,,False,True,True,
94,2,0.0,,,False,True,True,
95,2,0.0,,,False,False,False,
96,2,0.0,,,False,False,False,
97,5,0.0,,,False,False,False,
98,5,0.0,,,False,False,False,
99,5,0.0,,,False,False,False,
100,5,0.0,,,False,False,False,
101,3,0.0,,,False,False,False,
102,3,0.0,,,False,False,False,
103,3,0.0,,,False,False,False,
104,2,0.0,,,False,False,False,
105,2,0.0,,,False,False,False,
106,3,0.0,,,False,False,False,
107,5,0.0,,,False,False,False,
108,3,0.0,,,False,False,False,
109,5,0.0,,,False,False,False,
