game,mode,model,dual_reward,meaningful_step_ratio,total_steps,total_reward,win,winrate
zelda-lvl2-v0,contextual,openai,True,0.008403361344537815,238,0.0,False,0.0
zelda-lvl2-v0,contextual,deepseek,True,0.0,118,0.0,False,0.0
zelda-lvl2-v0,contextual,qwen,True,0.02027027027027027,740,0.0,False,0.0
zelda-lvl2-v0,contextual,portkey,True,0.09615384615384616,52,1.0,True,1.0
zelda-lvl2-v0,zero-shot,portkey,True,0.006578947368421052,152,1.0,True,1.0
zelda-lvl2-v0,zero-shot,qwen,True,0.040697674418604654,344,0.0,False,0.0
zelda-lvl2-v0,zero-shot,openai,True,0.18181818181818182,66,0.0,False,0.0
zelda-lvl2-v0,zero-shot,deepseek,True,0.0,44,0.0,False,0.0
boulderdash-lvl2-v0,contextual,openai,True,0.012534059945504087,1835,6.0,True,1.0
boulderdash-lvl2-v0,contextual,portkey,True,0.5104166666666666,96,6.0,True,1.0
boulderdash-lvl2-v0,zero-shot,openai,True,0.42857142857142855,98,6.0,True,1.0
boulderdash-lvl2-v0,zero-shot,deepseek,True,0.43793793793793795,1998,2.0,True,1.0
boulderdash-lvl2-v0,zero-shot,o3-mini,True,0.45,140,6.0,True,1.0
boulderdash-lvl2-v0,zero-shot,qwen,True,0.12962962962962962,1998,0.0,False,0.0
boulderdash-lvl2-v0,zero-shot,portkey,True,0.2798507462686567,268,8.0,True,1.0
aliens-lvl2-v0,contextual,deepseek,True,0.01618705035971223,556,1.0,True,1.0
aliens-lvl2-v0,contextual,qwen,True,0.8061224489795918,98,6.0,True,1.0
aliens-lvl2-v0,contextual,portkey,True,0.700374531835206,267,32.0,True,1.0
aliens-lvl2-v0,contextual,openai,True,0.8261997405966277,771,2.0,True,1.0
aliens-lvl2-v0,zero-shot,deepseek,True,0.6388059701492538,670,59.0,True,1.0
aliens-lvl2-v0,zero-shot,qwen,True,0.27367055771725035,771,0.0,False,0.0
aliens-lvl2-v0,zero-shot,openai,True,0.0,529,0.0,False,0.0
aliens-lvl2-v0,zero-shot,portkey,True,0.44764795144157815,659,63.0,True,1.0
aliens-lvl1-v0,zero-shot,portkey,True,0.6900489396411092,613,68.0,True,1.0
aliens-lvl1-v0,zero-shot,deepseek,True,0.5819793205317577,677,60.0,True,1.0
aliens-lvl1-v0,zero-shot,openai,True,0.5128205128205128,702,40.0,True,1.0
aliens-lvl1-v0,zero-shot,qwen,True,0.6598360655737705,244,27.0,True,1.0
aliens-lvl1-v0,contextual,portkey,True,0.54,550,62.0,True,1.0
aliens-lvl1-v0,contextual,openai,True,0.648936170212766,376,2.0,True,1.0
aliens-lvl1-v0,contextual,deepseek,True,0.01762114537444934,681,3.0,True,1.0
aliens-lvl1-v0,contextual,qwen,True,0.37722419928825623,843,59.0,True,1.0
boulderdash-lvl1-v0,contextual,deepseek,True,0.007007007007007007,1998,2.0,True,1.0
boulderdash-lvl1-v0,contextual,portkey,True,0.7142857142857143,14,4.0,True,1.0
boulderdash-lvl1-v0,contextual,openai,True,0.02002002002002002,1998,4.0,True,1.0
boulderdash-lvl1-v0,contextual,qwen,True,0.04054054054054054,1998,0.0,False,0.0
boulderdash-lvl1-v0,zero-shot,deepseek,True,0.3956386292834891,321,8.0,True,1.0
boulderdash-lvl1-v0,zero-shot,openai,True,0.29850746268656714,402,10.0,True,1.0
boulderdash-lvl1-v0,zero-shot,portkey,True,0.5283018867924528,53,6.0,True,1.0
boulderdash-lvl1-v0,zero-shot,qwen,True,0.5714285714285714,21,4.0,True,1.0
zelda-lvl1-v0,contextual,openai,True,0.0,118,0.0,False,0.0
zelda-lvl1-v0,contextual,deepseek,True,0.002304147465437788,434,0.0,False,0.0
zelda-lvl1-v0,contextual,portkey,True,0.0078125,128,1.0,True,1.0
zelda-lvl1-v0,contextual,qwen,True,0.02857142857142857,770,0.0,False,0.0
zelda-lvl1-v0,zero-shot,openai,True,0.04838709677419355,496,0.0,False,0.0
zelda-lvl1-v0,zero-shot,deepseek,True,0.0,178,0.0,False,0.0
zelda-lvl1-v0,zero-shot,portkey,True,0.007763975155279503,644,1.0,True,1.0
zelda-lvl1-v0,zero-shot,qwen,True,0.019230769230769232,156,0.0,False,0.0
realsokoban-lvl1-v0,zero-shot,deepseek,True,0.4069069069069069,1998,0.0,False,0.0
realsokoban-lvl1-v0,zero-shot,qwen,True,0.0,1998,0.0,False,0.0
realsokoban-lvl1-v0,zero-shot,openai,True,0.0,1998,0.0,False,0.0
